item_id,subsystem,component,quantity_basis,authority,source_status,review_gate,notes
BOM-001,bowed_string_core,melody string test course,estimate_pending_measurement,pending_measurement,unmeasured,"one-string tangent rig review","Directly bowed test course; count material gauge and tuning are not released."
BOM-002,bowed_string_core,temporary nut reference,estimate_pending_measurement,pending_measurement,unmeasured,"string path and service access review","Movable reference surface for the test rail; no final nut geometry claimed."
BOM-003,bowed_string_core,temporary bridge reference,estimate_pending_measurement,pending_measurement,unmeasured,"bow clearance and tangent response review","Bridge concept only; crown height feet and string spacing require measurement."
BOM-004,bowed_string_core,temporary tail/string anchor,estimate_pending_measurement,pending_measurement,unmeasured,"load path and service access review","Anchor concept for the test rig; final tailpiece remains open."
BOM-005,key_action,keybox cassette shell,estimate_pending_measurement,pending_measurement,unmeasured,"key travel and access review","Removable guide structure for sliding keys; dimensions and material remain open."
BOM-006,key_action,sliding key blanks,estimate_pending_measurement,pending_measurement,unmeasured,"friction side-play and return review","Keys carry tangents and require return and clearance testing."
BOM-007,key_action,key guide liners or bearing surfaces,estimate_pending_measurement,pending_measurement,unmeasured,"wear and friction review","Candidate low-friction guide surfaces only; no material authority."
BOM-008,key_action,key return elements,estimate_pending_measurement,pending_measurement,unmeasured,"return noise and repeatability review","Return method remains a test variable."
BOM-009,tangent_system,wooden tangent blanks,estimate_pending_measurement,pending_measurement,unmeasured,"contact clarity and replaceability review","Adjustable tangent elements; contact geometry is the main prototype variable."
BOM-010,tangent_system,tangent adjustment hardware,estimate_pending_measurement,pending_measurement,unmeasured,"setup stability review","Hardware family pending; must not lock in final tangent coordinates."
BOM-011,sympathetic_strings,sympathetic string mockup course,estimate_pending_measurement,pending_measurement,unmeasured,"clearance and resonance observation","Resonance strings routed under or through keybox; count and tuning are not specified."
BOM-012,sympathetic_strings,sympathetic nut and tail references,estimate_pending_measurement,pending_measurement,unmeasured,"service access review","Separate support path with clearance from keys and tangents."
BOM-013,sympathetic_strings,temporary damping or isolation material,estimate_pending_measurement,pending_measurement,unmeasured,"unwanted noise review","Used only to study weak response or rattle; not tonal authority."
BOM-014,body,body and soundboard planning shell,estimate_pending_measurement,pending_measurement,unmeasured,"mounting order and load path review","Body concept only; outline bracing and materials require review."
BOM-015,body,keybox mounting blocks,estimate_pending_measurement,pending_measurement,unmeasured,"removable cassette review","Mounting concept for testing keybox access without final body geometry."
BOM-016,hardware,tuning hardware family,estimate_pending_measurement,pending_measurement,unmeasured,"stringing and service review","Hardware family pending string count service access and tuning approach."
BOM-017,hardware,inspection fasteners and removable panels,estimate_pending_measurement,pending_measurement,unmeasured,"serviceability review","Supports L2 review of access before closed construction."
BOM-018,documentation,measurement log,estimate_pending_measurement,concept_only,planned,"prototype evidence capture","Future prototype log for key travel tangent contact clearance and resonance."
BOM-019,documentation,photo and failure-mode log,estimate_pending_measurement,concept_only,planned,"review documentation","Record scrape buzz missed return weak resonance and service findings before authority upgrade."
